Event ID,Name,Description,Multi-hot Encoding,Multi-dimensional Encoding
0x0001,cpu_cycles,Event for each CPU cycle,No,No
0x0002,instructions,Event for each retired instruction,No,No
0x0003,l1d_read_access_all,Event (speculative) for a l1d_cache access caused by a all demand memory-read operation. Does not include accesses to IO or noncacheable regions,No,No
0x0004,l1d_read_miss,Event (speculative) for a l1d_cache refill that is due to a demand memory-read operation. Does not include accesses to IO or noncacheable regions,Yes,Yes
0x14610001,op_retired_direct_branch,Event for each retired direct control flow instruction,Yes,No
0x14610002,op_retired_ret_branch,Event for each retired control flow instruction that uses the return address stack for prediction,Yes,No
0x14610004,op_retired_indirect_branch,Event for each retired indirect control flow instruction that uses the Branch Target Predictor for prediction. Return instructions are not included,Yes,No
0x14610008,op_retired_cond_branch,Event for each retired conditional control flow instruction that uses the Branch Direction Predictor,Yes,No
